Output,Input
"Title: Nursery Rhymes
Grade Level: 1st - 3rd Grades
Description: Language Arts, Writing, Editing, Writing Process, Art, Mediums, Techniques
Objective: In this activity, students will use the drawing tool to illustrate nursery rhymes and print pictures with teacher assistance.
Directions: Begin this lesson by sharing several nursery rhymes with the students.  Using a graphics program, students will be illustrating their favorite nursery rhymes.  Before having the students go to the computer, have them plan their drawings on Nursery Rhyme Art (page 23).  The planning sheet has a place for each student to write the nursery rhyme and a place for a sketch of the picture.  Remind students to write the names and authors (if known) of the nursery rhymes they are using.

Demonstrate how to use the drawing tools to illustrate the nursery rhymes the students have heard.  Have students type or stamp the title and/or text of the nursery rhymes to the left of their drawings.
Once the pictures are complete, have the students print their masterpieces and color them (if the students printed in black and white).

As an extension, have students illustrate a number of nursery rhymes this way and make their own nursery rhyme collection books.
Resources: 
, Kid Pix or other graphics program, 
, printer, 
, copies of nursery rhymes, 
, copies of Nursery Rhyme Art (see link below) for the students, 
, 
","I need a multi-day creative learning unit for 1st - 3rd Grades students, themed around 'an adventure with a special theme', with activities that encourage exploration and mastery."
"Title: October Writing Journal
Grade Level: 1st - 3rd Grades
Description: Language Arts, Writing, Journaling
Objective: Students use journals to develop their writing skills.
Directions: Journals and SSW
Sustained Silent Writing (SSW) is similar to Sustained Silent Reading (SSR).  It is a specific time each day set aside for the children to practice writing that is ungraded.  The children, however, are expected to do their best work.

Sharing writing encourages children to develop their writing skills.  It is useful to use a variety of methods to allow children to share their work.
Students can share their writing in the following ways:

with the partner next to him or her
with the whole group
with the partner across from him or her
with a partner of choice
with a partner drawn at random
with a small group
in a ""donut"" (One group of children forms a circle with their backs to the middle, and the other children form a circle around them.)


SSW can be done in a journal used expressly for that purpose.  Journals can be made by stapling several pieces of paper between construction paper covers.  The children can be given a new journal each month.  Different colored construction paper each month makes the journals easy to organize.  Monthly journals can be sent home to be shared at the end of each month with a letter to the parents requesting that they be returned the next day.  If desired, you can also ask the parents to write a response to the journals before returning them.  Their responses can be addressed to their children.

The following information is geared toward the use of journals in specific grade levels.  Use these as guidelines for having students complete October Writing Journals.

Kindergarten
Begin by using blank paper on which the children draw a picture.  Sharing their pictures with classmates gives them an audience for whom to draw and helps them to develop their verbal skills.  The next step is for them to use a word or words to label their pictures.  Afterwards, they can begin to use paper with one or more writing lines, drawing a picture and writing about it on the line(s).  Support the children's use of ""kindergarten spelling"" (writing the letters whose sounds they hear when they say the word).  This is a normal and vital step toward the development of conventional spelling.

First Grade
In first grade, children build upon their kindergarten experience.  If they did not experience journal writing in kindergarten, begin with blank paper of pictures and labels.  Decrease the size of the picture portion of the page each month, completely eliminating the picture portion by midyear.  Since the emphasis of SSW after the first month of school should be clearly be writing, encourage children to write before they draw a picture.  Support the children's use of ""first grade spelling"" (writing any letter sounds they hear when they say the word).  Again, this is a normal and necessary step to conventional spelling.

Second Grade
The children will again build on their prior experiences, using a format similar to that used at the end of the first grade.  If the children have not had previous journal writing experiences, begin during the first month with paper allowing a small picture area.  Move to a fully lined page during the following months.  Support the children's use of ""second grade spelling""  (writing conventionally any words they have previously learned and writing down letter sounds they hear when they say the word for any others).  This step brings them very close to complete conventional spelling.

Third Grade
By third grade, the students should have had a fair amount of writing experience.  Build on this prior experience, using a format similar to what was used at the end of second grade.  Provide fully lined paper for their writing, forgoing drawing in lieu of complete writing content.  Require a reasonable amount of conventional spelling, allowing for invented spellings wherever necessary so as not to interrupt the flow of ideas onto paper.  Remember, spelling can always be corrected, and the primary purpose of sustained writing is to encourage fluidity of thought and expression.  Stopping to look up words in the dictionary will sometimes block that flow.
Resources: 
, October Writing Journals activity pages, 
, writing and drawing materials, 
, 
",Design a language arts lesson for a 1st - 3rd Grades class inspired by 'imaginative storytelling'. The plan should include a narrative writing workshop that develops characters and plots over several days.
"Title: Oddity Rhyming Strips
Grade Level: 1st - 3rd Grades
Description: Language Arts, Reading, Phonemic Awareness, Phonics, Oral Language, Listening, Speaking
Objective: Students will practice identification of rhyming words.  By comparing and contrasting pictures, students will practice identifying rhyming sounds.
Directions: Preparation
Copy two blank oddity strip pages for each student plus extra pages for your examples.  Copy each rhyming picture card page for every student, plus extra pages for your examples.  Then, make four to six completed strips to use as examples. To do this, cut your extra copies of page 42 into strips and cut apart the rhyming picture cards.  Next, glue (in any order) two rhyming pictures and one non-rhyming picture on each strip.

Procedure
Seat the children at a table.  Show them one of your prepared oddity rhyming strips.  The lines in italics below should be read to the students.

Today I am going to show you several strips with three pictures.  Two of the pictures will rhyme, and the other will be a trick picture, as it does not rhyme with the other two.  Okay, let's begin.
Name the pictures with me.  ____________,  ____________, and  ____________.  (Student's name), which picture does not rhyme?  Great!  ____________ and ____________ are rhyming words, so the ____________ is the trick picture.

Continue with the other picture strips.  Have the students name the rhyming pairs and identify the trick picture.

Now we are going to make our own rhyming strips.  I will give you each some rhyming pictures and some oddity strips.   We will look at the pictures to see if we can find a rhyming pair to glue on one of your strips.  After we have glued on a rhyming pair, we will then add a trick picture to your strip.  

Pass out the pages and assist the students as they make oddity rhyming strips.  Continue making strips until the allotted time is up.  

Take your rhyming strips home; see if your family can find which two pictures rhyme for each strip.
Resources: 
, blank rhyming strips (see the link below for this page), 
, rhyming picture cards (see the activity page link below), 
, completed oddity rhyming strips, 
, glue, 
, 
",Design a creative learning lesson for a 1st - 3rd Grades class inspired by 'an adventure with a special theme'. The plan should include a unique set of engaging activities designed to captivate student interest.
"Title: Online Words
Grade Level: 1st - 3rd Grades
Description: Language Arts, Reading, Vocabulary
Objective: Students use an online dictionary to define their spelling or vocabulary words while building computer skills.
Directions: Preparation

Have students' spelling/vocabulary lists available
Copy the Online Words page
Write the Web sites' names and URLs on the board


Lesson Steps

Explain to the students that today they will use a dictionary on the Internet to find the definitions of their spelling/vocabulary words.  
Distribute the students' spelling/vocabulary lists and the Online Words page.  Explain to the students that for each word, they will first write what they think the word means, find what the word actually means and write the definition in their own words, and then compose a sentence using the word.
Think of a word and ask students what they think it means.  Write the word and the students' prediction on the Online Words page.  Instruct the students to do the same.
While students are watching, log on to the Internet and launch the Internet browser.  Remind the students how to enter a URL in the Address box and press the Enter key to navigate to the Web site.
Navigate to the student dictionary by following the appropriate hyperlinks.  Point out the box where the students will type each spelling/vocabulary word.  Type the example word and click the Find/Search button.
When the definition appears, read it out loud.  Then, working with the students, come up with another way of defining the word and write that definition below the prediction on the Online Words page.  Discuss how the prediction was similar or different from the actual meaning.  
Together compose a sentence for the word and write that on the Online Words page.
Allow the students to use the Internet, their spelling/vocabulary lists, and the Online Words page to predict a definition, find a definition, and write a sentence for each word.  Note: If the definitions offered by the Internet site are written at a reading level that is too difficult for children to decipher on their own, consider having them use the companion site, pairing students, or doing the entire activity as a class.

Extension Ideas
Anytime the students come across a word they do not know in their reading or daily life, challenge them to predict its definition, and then use the classroom computer to look up the word.  Create a New Words sheet for students to record new words, their predicted definitions, and their actual definitions.  Keep the sheets by the computer.  Also, bookmark the dictionary site on the classroom computer and show students how to access it so you do not have to interrupt what you are doing to help them define a word.  

Consider designating one student the Word Hunter--the person who can use the classroom computer to look up words--when the entire class is reading together, or anytime the entire class comes across an unfamiliar word.

If your students are comfortable doing so, allow them to use a search engine to find their spelling/vocabulary words used in context on other sites.  This might help them compose sentences.
Resources: 
, Online Words page (see the link below), 
, computers with Internet access, 
, 
",Design a creative learning lesson for a 1st - 3rd Grades class inspired by 'an adventure with a special theme'. The plan should include a unique set of engaging activities designed to captivate student interest.
"Title: Pronoun Party
Grade Level: 1st - 3rd Grades
Description: Language Arts, Writing, Grammar
Objective: Students use pronouns to replace nouns in sentences.
Directions: Review nouns with students.  Nouns name a person, place, or thing.  Tell students that pronouns can take the place of a noun in a sentence.  Using a pronoun in a sentence can vary the sentence and even shorten it.  Read to students the two paragraph examples below.

On Saturday, Mark, Jason, and Dan did not have anything to do.  Mark, Jason, and Dan decided to go to the movies.  Mark paid for the tickets for Jason and Dan.  Mark said they were a birthday present for Jason.  Mark, Jason, and Dan enjoyed the movie. 

On Saturday, Mark, Jason, and I did not have anything to do.  We decided to go to the movies.  Mark paid for the tickets for us.  He said they were a birthday present for Jason.  We enjoyed the movie.
Point out to students that in the first paragraph, the names Mark, Jason, and Dan were repeated many times.  The second paragraph occasionally used the pronouns I, we, us, and he in place of the boys names.  Using pronouns in this paragraph varied the sentences and made it shorter and easier to read.

Read the following sentences to the students and see if they can identify the pronouns.

We helped my mom bake cookies.
They scored a lot of points by working together.
The school is being remodeled because it is old.
Mrs. Brown gave Jack a pencil for his birthday.
They enjoy going to the computer lab.
Our dad loves to coach the soccer team.
After school, she is coming to my house.
The audience gave me a standing ovation.
Is that present for me?
Are you going on the field trip with us?

Have students complete the Pronoun Party activity sheet.
Resources: 
, Pronoun Party activity sheet (one per student), 
, pencils, 
, A Cache of Jewels and Other Collective Nouns by Ruth Heller (Scholastic, Inc., 1987), 
",Design a creative learning lesson for a 1st - 3rd Grades class inspired by 'an adventure with a special theme'. The plan should include a unique set of engaging activities designed to captivate student interest.
"Title: Science Fiction Stories
Grade Level: 1st - 3rd Grades
Description: Language Arts, Writing, Writing Process
Objective: The students will be able to write a science fiction story that contains a title, as many sentences as you require, and a conclusion.
Directions: Prewriting

Read a science fiction story to your class.  Ask students what a science fiction story is.  What are the things that make it a science fiction story?  Science fiction is a story based on science where life as we know it has been dramatically changed.  Sometimes it is the characters that have been altered (aliens, dinosaurs, etc.), or the setting (outer space, earth with different surroundings, the moon, etc.). 
Brainstorm with your class a list of things that if scientifically changed would alter the way we live our lives.  (What if our clocks stopped working? or everyone's skin turned green? or the sun stayed up night and day? etc.)  Make a list of these changes on the chalkboard.  Have each student select one change to write a science fiction story about.

Drafting

Distribute copies of Science Fiction Outline to students.  Have students answer the questions to prepare for writing their science fiction stories.
When students have finished the work sheet, have them write the drafts of their science fiction stories.  Go over the criteria for the science fiction story (see objective above).  Clarify with students the expectations for these stories.

Editing and Revising

When the stories are drafted, pair students up with a partner, and have students read each others' stories.  Provide Science Fiction Peer Assessment for this purpose.  Partners should check to make sure that all the criteria for the science fiction story have been met.
Following the peer editing, students should make any necessary changes and revisions before writing the final copies of the stories.

Publishing and Assessment

Students should type their drafts, using a word-processing program on the computer.  Students could illustrate their final copies with a picture of a character or the scenery.
Use Science Fiction Teacher Assessment to evaluate the final copies of the science fiction stories.

Resources: 
, a science fiction story, 
, copies of the activity sheets: Science Fiction Outline, Science Fiction Peer Assessment, and Science Fiction Teacher Assessment for each student, 
, colored pencils or crayons, 
, 
",Design a creative learning lesson for a 1st - 3rd Grades class inspired by 'an adventure with a special theme'. The plan should include a unique set of engaging activities designed to captivate student interest.
"Title: Story Dolls
Grade Level: 1st - 3rd Grades
Description: Language Arts, Writing, Journaling, Oral Language, Speaking, Art, Mediums
Objective: Students express themselves through art and writing.
Directions: This activity allows the students to express themselves through art and writing simultaneously.  The students can use the patterns on the following pages to create paper doll versions of themselves.  They should add yarn for hair, buttons for eyes, and sequins, glitter, rickrack, ribbon, etc., for all of the other details.

On the bodies of the dolls, ask the students to each attach a small book of autobiographical information.  Make photocopies of the circular pattern for the students' books.  You might want to set up some  page guidelines similar to these.

Cover: title and author
Page 1: full name and age
Page 2: parents'/guardians' names
Page 3: siblings' names and ages
Page 4: pets' names
Page 5: what I want to be when I grow up

Staple the pages together onto the body of the paper doll to make a book.  Patterns are available on pages 51 and 52.

Ask the students to share their projects with their classmates.  (Note:  This makes a great ""get to know you"" activity at the beginning of the school year.)  Display the finished autobiographical dolls and books around the classroom.
Resources: 
, patterns from the activity pages, 
, pencils, 
, crayons, 
, craft materials such as yarn, buttons, sequins, glitter, rickrack, ribbon, etc., 
, 
","I need a multi-day creative learning unit for 1st - 3rd Grades students, themed around 'an adventure with a special theme', with activities that encourage exploration and mastery."
"Title: Synonyms: Frogs
Grade Level: 1st - 3rd Grades
Description: Language Arts, Reading, Vocabulary
Objective: Students will brainstorm frog related words, identify synonyms and practice using synonyms in sentences.
Directions: Pre-Internet Activity:
Have the students brainstorm everything they know about frogs.  Record their responses in a pond drawn on chart paper.  Review the list at the end of the brainstorming session.  If the class thinks the statement is true, they jump like a frog once.  If they disagree with the statement or think it is false, they make a croaking sound.  Explain that they will have a chance to learn more about frogs on the Internet as well as practice identifying synonyms.

Teaching the Lesson:
Play this synonym review game.  Using the list of synonyms below (or any others you have), call out a pair of words.  Since the words are synonyms, the students hop like frogs to someone else's seat.  Be sure to include some word pairs that are not synonyms.  When non-synonym pairs of words are called, the students simply ""gribbet"" like a frog and wait for a synonym pair to be called so they may hop along to the next desk. Go online to learn more about frogs at one of the suggested Web sites listed below.  A cute idea is to use a fly swatter since frogs are known to like flies.  To do this, hand a fly swatter to one student as his/her clue to come to the computer and explore the Web sites.  After connecting to a few links, he/she hands the swatter to another student who may do the same, and so on. Distribute a copy of page 40 to each student to complete independently.  You might have the students work on this while some are at the computers. You can label the frog and lily pad patterns (in the PDF file) with the synonym pairs for students to practice during center time.

Extended Activity:
Post the list of synonyms for the students to see.  Working with partners, have them devise a short script about frogs, using one of the synonym pairs.  First, they should consider the characters of their skits.  They can pretend to be frogs, two friends talking about frogs, scientists studying frogs, high school students dissecting frogs, etc.  Then they should consider their settings: the pond, aquarium, lab, school, etc.  Finally, they write their two-synonym skits keeping their characters and settings in mind.  After the partners perform for the class, the class members should identify who they were, where the skit took place, and the two synonyms they included.

List of sample synonyms:
ill and sick
fast and quick
exit and leave
easy and simple
hard and difficult
funny and amusing
harm and damage
close and shut
buy and purchase
walk and step
hop and jump
big and large
fat and chubby
sly and clever
old and aged
search and seek
smell and odor
stare and gaze
happy and glad
smart and wise
Resources: 
, chart paper, 
, fly swatter (optional), 
, one copy of the activity sheet, 
, several copies of the frog and lily pad patterns, 
, 
",Design a creative learning lesson for a 1st - 3rd Grades class inspired by 'an adventure with a special theme'. The plan should include a unique set of engaging activities designed to captivate student interest.
"Title: Clifford: The Bones of the Story
Grade Level: 1st - 3rd Grades
Description: Language Arts, Reading, Reading Comprehension
Objective: Students describe the five elements of a story--setting, characters, problem, events, and resolution.
Directions: Introduce your students to Clifford by reading to them or having them read Clifford the Small Red Puppy, Clifford's Puppy Days, or Clifford the Big Red Dog.
Set the stage for reading the books by discussing the following questions:

How many of you have a dog?  
Did you get him or her as a puppy?  
What are some of the memorable moments you have had with your dog?  
How has your dog been a good friend to you?  
How would it be different if you had a small dog (or a large dog)?


If you have all three books, display the covers.  Ask the following questions about the covers:

How are they alike?  
How are they different?  
How has Clifford changed on the three covers?  
How do you think this happened?  
What would you do if your dog grew to be this big?


Introduce the characters in the books:  Emily Elizabeth and her parents, Clifford and his family, Emily Elizabeth's Aunt Martha, and the Baker. Introduce the five elements of a story:  setting, characters, problem, events, and resolution.  Help them to identify these elements in the Clifford story.  Then have them fill out the work sheets with the information they have learned.
Resources: 
, The Bones of the Story activity pages, 
, pencils, 
, scissors, 
, colored paper, 
, Clifford the Small Red Puppy, Clifford's Puppy Days, or Clifford the Big Red Dog by Norman Bridwell, 
, 
","Develop a creative creative learning activity for 1st - 3rd Grades students focused on 'an adventure with a special theme', with fun challenges that span multiple days."
"Title: The Daily News
Grade Level: 1st - 3rd Grades
Description: Language Arts, Writing, Journaling
Objective: Students use headlines to recall and write about important events in the school day.
Directions: The Daily News can be done with the whole class at circle time, at the beginning or end of the school day, or individually in daily news journals.  The purpose of this activity is for the students to recall and write about something that they did during the school day (or the prior school day if you are doing this activity in the morning).  The students might write about a new math concept, a new set of spelling words, a field trip, a school assembly, etc.  This will involve the students in writing in a non-threatening manner.  This activity might also help open up parent-child communication.  When the students go home and their parents ask, ""What did you learn today?"", the students will have an answer instead of the usual, ""Nothing!""

If you should choose to do this activity as a whole class, copy the record on page 29 on chart paper or make an overhead transparency copy.  The chart paper can be laminated, and the students can use erasable pens to write on the laminated chart paper.  At the end of the week, just spray the chart with window cleaner and wipe off the sentences.  If you are using an overhead projector, photocopy the transparency at the end of the week.  Send home a copy with each student.  This will help keep the parents informed about what is happening in the classroom.

About halfway through the year, the students can begin making their own copies of The Daily News.  As a whole class, talk about the different things that happened during the day.  Each student can then write his or her own sentence about the day.  At the end of the week, the students can take their daily records home and share them with their families.
Resources: 
, The Daily News activity sheet, 
, pencils, 
, 
",Design a creative learning lesson for a 1st - 3rd Grades class inspired by 'an adventure with a special theme'. The plan should include a unique set of engaging activities designed to captivate student interest.
"Title: Anthropomorphic Writing: The Laughing Leaf
Grade Level: 1st - 3rd Grades
Description: Language Arts, Writing, Journaling, Art, Mediums
Objective: Students will learn about and practice real-object writing.
Directions: Young children are very kinesthetic learners who love to see, hear, smell, taste, and touch real objects.  The objects or props you use when studying dinosaurs, such as model dinosaurs or fossil specimens, are called ""realia.""

This realia is very important when children are involved in object writing.  There are two different object-writing types.  The first one deals with children writing about their own personal experiences with the subject.  For example, children may be asked to wear their favorite T-shirts and then write about the shirts; where they got them, what makes them so special, etc.  The second type of object writing deals with ""anthropomorphism"" or ascribing human form or attributes to a nonhuman thing or being.  For example, many pet owners do this with their pets, treating them more like small human babies, talking to them, cuddling them, etc.

For young writers, beginning object-writing lessons consist of fill-in stories.  This gives them guidelines and experience in reading complete sentences in a beginning-to-ending format, which tells detailed information about the writing subject. 

This anthropomorphic object writing activity has specific directions for students to follow.  This kind of writing can be challenging for children because it requires writing complete sentences.  You may want to enlist the help of adult volunteers or cross-age peers, to help the children fill in their story ideas. 

If possible, bring in a leaf for each child to place on his or her desk while completing the activity.
Resources: 
, The Laughing Leaf activity sheet, 
, pencils, 
, drawing materials, 
, leaves, 
, 
","I need a multi-day language arts unit for 1st - 3rd Grades students, themed around 'imaginative storytelling', with activities that encourage exploration and mastery."
"Title: Using the Table of Contents
Grade Level: 1st - 3rd Grades
Description: Language Arts, Reading, Reading Comprehension
Objective: The student will use a table of contents to find information in a book.
Directions: Procedure

Distribute copies of the page, Table of Contents.  Explain that books have a page that helps us find what we are looking for in a book.  Write Table of Contents across the chalkboard.  Have a book available for each student to refer to at this time.
Have students look inside their books to find the table of contents.  Have them keep their fingers in their books to mark the place until all students find the table of contents.  Explain that a table of contents lists all the subjects in the book and the pages on which they can be found.  Most books that share information have a table of contents.
Ask students to locate topics in their books.  What are some of these topics?  On what pages can these topics be found?  Have students practice choosing a topic, seeing the page on which it is found, and locating the page in the book.  It can be very difficult for some students to find the pages.  Be available for assistance and be sure that the books your students are using are not too long or too difficult.  
Go over the four questions found on the Table of Contents page.  Check to be sure that students understand the questions and allow students time to complete the work sheet.  Circulate around the room to offer assistance, as needed.
Schedule a time, if necessary, for your students to use the library for researching purposes.  Remind students of proper library behavior and procedures before you go.
Assist students in locating books, encyclopedias, and other materials to research their animals.  Have students look for books that have information about their animals.  Next, have students look in the table of contents of each book to determine whether there is information in the book on their research animals.  Allow students time to practice using the table of contents.  Students may check out books they find that have information about their research animal.  Schedule more time in the library for students to research, as needed.

Assessment

Check to see that students have completed the Table of Contents page correctly.
Check off the appropriate research strategy skill (4B) on the Teacher Checklist on page 24 of the Assessment Section.  Assess student work using the Research Assessment Rubric on page 52.

Resources: 
, an age-appropriate book that has a table of contents for each student, 
, access to a library with reference books and other books used for research, 
, copy of the Table of Contents work sheet (see the link to the activity sheets below) for each student, 
, 
","Help me prepare a week-long creative learning project for 1st - 3rd Grades that brings 'an adventure with a special theme' into the classroom, with students completing engaging activities."
"Title: What Did You Say?
Grade Level: 1st - 3rd Grades
Description: Language Arts, Writing, Punctuation
Objective: Students will learn to use quotation marks around a direct quote and use a comma to set off a quotation.
Directions: Tell students that quotation marks are used to show the words a person is saying. Give them this example: 
Mary said, ""I love the color blue.""

The words inside the quotation marks show the exact words Mary said.  Notice that a comma is used to separate what Mary said from the rest of the sentence.

Write the following sentences on the board and have students work as a class to place a comma and quotation marks in each sentence.

The doctor said  You are in good health.
Marty said  My lizard escaped from the cage.
He said You look nice today.
Mrs. Thomas said Line up at the door.
Dad said Come in for dinner.

Tell students that the word said is not the only word used to show that a person is speaking.  Other words that can show a person is speaking are asked, screamed, questioned, wondered, yelled, and whispered.

Write the following sentences on the board and have students place a comma and quotation marks in each sentence.

Michael asked Can I have a glass of milk?
Watch out! screamed Judy.
Jason wondered  Should I go with them?
My sister whispered Is the movie almost over?
Mom yelled Go, Wildcats, go!

Distribute the activity sheet to students and have them practice what they have learned.
Resources: 
, What Did You Say? Activity Sheets, 
, Pencils, 
, 
","Help me prepare a week-long creative learning project for 1st - 3rd Grades that brings 'an adventure with a special theme' into the classroom, with students completing engaging activities."
"Title: Yakety-Yak!
Grade Level: 1st - 3rd Grades
Description: Language Arts, Writing, Punctuation, Traits of Writing
Objective: Students learn about dialogue and ways to use dialogue in writing stories.
Directions: Discuss with students the process of writing stories.  Focus on the characters within a story.  As a class, discuss the following dialogue example.

When your characters start talking to each other, that is called dialogue.  Dialogue helps you to show what a character is like.

If someone falls down and your character says, ""Hah! That was pretty funny!"" that tells the reader what your character is like.  If instead your character says, ""Are you okay?"" that says something different about your character.

Imagine two characters.  One is nasty and the other is nice.  Think about what each character might say in each of the situations.




 
 Nasty   
 Nice   


 To a new boy at school   
 ""You can't play.""   
 ""Come play with us.""   


 To someone who has just offered an invitation to a party   
 
 


 To the substitute teacher   
 
 


 To a parent who has said it's time for bed   
 
 


 To the teacher who says it's time to put away the equipment   
 
 




Challenge: Listen to dialogue wherever you go.  Listen to people of all ages in all kinds of places.  Write down interesting sayings, expressions, or accents you hear.  Using the activity above write the responses you might imagine from a timid character, a funny character, a smart character, or an athletic character.

For Younger Students: Take dictation as they think of how one type of person might respond as opposed to another:  For instance, to the new boy in school, the nasty character might say, ""Get lost,"" or ""Go away!""  The nice character might say, ""Hello,"" or ""Do you want to play with us?""  Be sure they realize that this activity is not about any real person they know or themselves; it is about fictional characters that they are imagining.
Resources: 
, Yakety-Yak! activity page (one per student), 
, pencils, 
, paper (for Challenge activity), 
, 
","Help me prepare a week-long creative learning project for 1st - 3rd Grades that brings 'an adventure with a special theme' into the classroom, with students completing engaging activities."
"Title: Father's Day Pencil Holder
Grade Level: 1st - 3rd Grades
Description: Art
Objective: Students will create a pencil holder for Father's Day.
Directions: 
Reproduce pattern pieces on white construction paper. Color and cut out all of the pieces.
Glue the ""dad"" rectangle on the soup can.
Glue the arms to the sides of the can. Fold them slightly forward for a better 3-D effect.
Glue legs to the bottom of the can. Legs can be bent to ""sit"" on edge of the table of left flat.

Resources: 
, Construction Paper, 
, Crayons, 
, Scissors, 
, Glue, 
, One Soup Ca—cleaned with the label removed, 
","Help me prepare a week-long creative learning project for 1st - 3rd Grades that brings 'an adventure with a special theme' into the classroom, with students completing engaging activities."
"Title: Flags
Grade Level: 1st - 4th Grades
Description: Language Arts, Reading, Vocabulary, Writing, Writing Process, Journaling, Oral Language, Listening, Speaking, Art, Mediums
Objective: The students will write a description of a flag.
Directions: 
Decide whether the whole class will participate in writing a description, or if the students will do so individually.

Have the students study the flag they will be describing in their writing.  This will be done by either having the entire class view the one flag they will be describing, or by handing out pictures of various flags to each individual student.  What colors are in the flag?  What symbols are used?  Where are the colors and symbols placed in the flag?  How would the students write a description of the flag for someone who cannot see it?  If this project is being done as a whole class, record their descriptive sentences on chart paper.

If older students are doing this project individually, have them keep their flag picture a secret.  Once their descriptions are written, display the flag pictures for all the students to view.  Then each student may read their description while the rest of the class tries to match the description with the picture.


Extension Ideas
As an alternative to the above, combine a Language Arts Lesson with an Art Lesson.  Have the students write a description of the flag they have created during the art lesson.  They may want to include a description of the process of creating their flag and what any of the symbols mean.
Have a lesson on symbols and what they mean.  Discuss the different symbols used in the American Flag.  Relate this to symbols used in written language.  What do the different punctuation marks mean-- . , ? ! ?

Read the Pledge of Allegiance.  A great book to use for this activity is The Pledge of Allegiance by Francis Bellamy (Editor), Scholastic.  Make a list of the unknown words and look up their definitions.  If desired use ""The Pledge of Allegiance"" activity sheet (most appropriate for older students).
Resources: 
, The United States Flag or any other flag.  (Pictures of flags may be used as well.)  Refer to the following Web sites (see Internet Links below):  Flags or Flags Of The World.  If the class will be doing this project individually, have enough pictures of flags so there is one per student.  If you do not have a color printer, print out the coloring pages of flags at the Coloring Book Of Flags Web site (see Internet Links below).  Show the students the color picture of their flag and have them quickly fill in the colors before writing their descriptions., 
, paper, 
, writing utensils, 
, chart paper or blackboard (if done as a whole class), 
","Help me prepare a week-long creative learning project for 1st - 4th Grades that brings 'an adventure with a special theme' into the classroom, with students completing engaging activities."
"Title: Team Stories
Grade Level: 1st - 4th Grades
Description: Language Arts, Writing, Writing Process, Traits of Writing, Oral Language, Speaking
Objective: Students work together to write stories.  Each student uses creative thinking skills to compose the beginning, middle, or end of a story.
Directions: Ask students if they have ever made up stories with their friends with each of you taking a turn to add to the story.  Tell them that it can be fun to add to a story that is written by a team of writers.
Here is how to do it with your whole class:


Distribute the Team Stories page of story starters to each student.  Each student can take out a piece of paper.  Students can use one of the story starters to begin their stories.  Ask them if they can think of ways to make it interesting.  Have students copy the story starter of their choice and then write another paragraph or two to continue the story.  They should add a title at the top of their stories.
When they have finished, have them look carefully to make sure other people will be able to read what you wrote.
When time is up, have them stop and turn in their stories.
After you have collected the stories, make copies of what students have written so far.
Next, on a different day if time is limited, pass out the stories.  Each student should have one that someone else wrote.
Give them time to write the middle part of someone else's story.  They should be sure to use the same characters that are in the beginning of the story and decide how it will continue.
7.Have them make sure your middle can be read by others and turn it in.  Make copies of the new, longer stories.
Finally, it will be time to write the endings to the stories.  Pass out the stories again.  Be sure that they get stories that were written by other students.
Now students have the tough job of writing an ending to stories that they did not start.  They should be sure to use the same characters and write an ending that makes sense.
Collect all of the stories.  The entire class can have a story festival, sharing the team stories.


The Story Festival
State the title of the first story to be read.  The author of that story's beginning will come up to read the whole story.  When students hear the titles they wrote, they will go to the front of the class to read the team's story.  They may be surprised at what happened to their stories.  When students finish reading the whole story, they may wish to tell the class how they thought the story would go and what surprised them about the middle and ending.

When everyone is finished, discuss the stories.  Did anyone have trouble continuing a story?  Why?  Did any story come out just as expected?  What were you thinking or feeling as you were writing your story parts?  Which was the most fun: the beginning, the middle, or the ending?  Which was the easiest to write? 

Challenge
Create report folders with about 10 pages each.  Each student can write a story start on the first page and add his or her name to the bottom of the page.  Put the folder in a box or on a shelf with story folders for the entire class.  When students  have some free time, they  can take out another folder, add a page to whatever story had been started, and add their name to the bottom of that page.  Tell them not to write their pages one after another; but to be sure to allow someone else a turn in between.  They can write in as many books as they like.  If they wish to, they can add illustrations to the page.  Tell them not to forget to read the stories too.

For Younger Students
Have the class, or a team of students, sit in a circle.  Allot a time period, and pick a number so that students can try to guess the number.  The student who comes closest gets to begin.  The first student starts the story by introducing the characters and the setting, begins to tell some of the action, and then stops.  The student to his or her left takes up where the first student left off and stops to allow the next student to continue, and so on.  Continue as many times around the circle as time allows.  (If you use a timer, let students see how much time is left, and it may motivate them to start tying together loose ends to create a conclusion.)
Resources: 
, paper, 
, pencil, 
, Team Stories activity sheet, 
, 
","I need a multi-day creative learning unit for 1st - 4th Grades students, themed around 'an adventure with a special theme', with activities that encourage exploration and mastery."
